Landroid/service/watchdog/ExplicitHealthCheckService$$ExternalSyntheticLambda0;->run()V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService$$ExternalSyntheticLambda1;->run()V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService$ExplicitHealthCheckServiceWrapper$$ExternalSyntheticLambda0;->run()V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService$ExplicitHealthCheckServiceWrapper$$ExternalSyntheticLambda1;->run()V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService$ExplicitHealthCheckServiceWrapper$$ExternalSyntheticLambda2;->run()V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService$ExplicitHealthCheckServiceWrapper$$ExternalSyntheticLambda3;->accept(Ljava/lang/Object;)V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService$ExplicitHealthCheckServiceWrapper$$ExternalSyntheticLambda4;->run()V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService$ExplicitHealthCheckServiceWrapper$$ExternalSyntheticLambda5;->run()V,core-platform-api,public-api,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService$PackageConfig$1;->createFromParcel(Landroid/os/Parcel;)Ljava/lang/Object;,public-api,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService$PackageConfig$1;->newArray(I)[Ljava/lang/Object;,public-api,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService$PackageConfig;-><init>(Ljava/lang/String;J)V,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService$PackageConfig;->CREATOR:Landroid/os/Parcelable$Creator;,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService$PackageConfig;->describeContents()I,public-api,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService$PackageConfig;->equals(Ljava/lang/Object;)Z,core-platform-api,public-api,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService$PackageConfig;->getHealthCheckTimeoutMillis()J,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService$PackageConfig;->getPackageName()Ljava/lang/String;,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService$PackageConfig;->hashCode()I,core-platform-api,public-api,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService$PackageConfig;->toString()Ljava/lang/String;,core-platform-api,public-api,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService$PackageConfig;->writeToParcel(Landroid/os/Parcel;I)V,public-api,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService;-><init>()V,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService;->BIND_PERMISSION:Ljava/lang/String;,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService;->EXTRA_HEALTH_CHECK_PASSED_PACKAGE:Ljava/lang/String;,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService;->SERVICE_INTERFACE:Ljava/lang/String;,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService;->notifyHealthCheckPassed(Ljava/lang/String;)V,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService;->onBind(Landroid/content/Intent;)Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService;->onCancelHealthCheck(Ljava/lang/String;)V,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService;->onGetRequestedPackages()Ljava/util/List;,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService;->onGetSupportedPackages()Ljava/util/List;,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService;->onRequestHealthCheck(Ljava/lang/String;)V,sdk,system-api,test-api
Landroid/service/watchdog/ExplicitHealthCheckService;->setHealthCheckPassedCallback(Ljava/util/concurrent/Executor;Ljava/util/function/Consumer;)V,sdk,system-api,test-api
Landroid/service/watchdog/IExplicitHealthCheckService$Default;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/service/watchdog/IExplicitHealthCheckService$Stub$Proxy;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/service/watchdog/IExplicitHealthCheckService$Stub;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/service/watchdog/IExplicitHealthCheckService$Stub;->onTransact(ILandroid/os/Parcel;Landroid/os/Parcel;I)Z,public-api,sdk,system-api,test-api
